card_id,image_url
dv1-9,https://images.pokemontcg.io/dv1/9_hires.png
sm3-6,https://images.pokemontcg.io/sm3/6_hires.png
ex14-4,https://images.pokemontcg.io/ex14/4_hires.png
sm8-5,https://images.pokemontcg.io/sm8/5_hires.png
neo3-6,https://images.pokemontcg.io/neo3/6_hires.png
ex11-8,https://images.pokemontcg.io/ex11/8_hires.png
xy10-5,https://images.pokemontcg.io/xy10/5_hires.png
sm2-6,https://images.pokemontcg.io/sm2/6_hires.png
pl1-9,https://images.pokemontcg.io/pl1/9_hires.png
sm75-5,https://images.pokemontcg.io/sm75/5_hires.png
ecard3-H2,https://images.pokemontcg.io/ecard3/H2_hires.png
xy6-2,https://images.pokemontcg.io/xy6/2_hires.png
bw8-5,https://images.pokemontcg.io/bw8/5_hires.png
neo4-7,https://images.pokemontcg.io/neo4/7_hires.png
hgss1-9,https://images.pokemontcg.io/hgss1/9_hires.png
hgss4-9,https://images.pokemontcg.io/hgss4/9_hires.png
sm1-5,https://images.pokemontcg.io/sm1/5_hires.png
sm9-7,https://images.pokemontcg.io/sm9/7_hires.png
xy7-7,https://images.pokemontcg.io/xy7/7_hires.png
swsh35-7,https://images.pokemontcg.io/swsh35/7_hires.png
ex8-6,https://images.pokemontcg.io/ex8/6_hires.png
base1-6,https://images.pokemontcg.io/base1/6_hires.png
dpp-DP07,https://images.pokemontcg.io/dpp/DP07_hires.png
bw9-5,https://images.pokemontcg.io/bw9/5_hires.png
det1-9,https://images.pokemontcg.io/det1/9_hires.png
xy5-8,https://images.pokemontcg.io/xy5/8_hires.png
dp4-6,https://images.pokemontcg.io/dp4/6_hires.png
bw6-6,https://images.pokemontcg.io/bw6/6_hires.png
bw1-5,https://images.pokemontcg.io/bw1/5_hires.png
pop6-7,https://images.pokemontcg.io/pop6/7_hires.png
pop9-6,https://images.pokemontcg.io/pop9/6_hires.png
pop1-7,https://images.pokemontcg.io/pop1/7_hires.png
ex12-9,https://images.pokemontcg.io/ex12/9_hires.png
sm115-8,https://images.pokemontcg.io/sm115/8_hires.png
ex10-6,https://images.pokemontcg.io/ex10/6_hires.png
xy2-8,https://images.pokemontcg.io/xy2/8_hires.png
base4-7,https://images.pokemontcg.io/base4/7_hires.png
si1-8,https://images.pokemontcg.io/si1/8_hires.png
ex3-7,https://images.pokemontcg.io/ex3/7_hires.png
ex7-7,https://images.pokemontcg.io/ex7/7_hires.png
bw7-7,https://images.pokemontcg.io/bw7/7_hires.png
bw11-7,https://images.pokemontcg.io/bw11/7_hires.png
xy1-6,https://images.pokemontcg.io/xy1/6_hires.png
ex4-7,https://images.pokemontcg.io/ex4/7_hires.png
